SEQUENCE_ID	BLAST_KEYS	PFAM_KEYS	PROSITE_KEYS	Associated Pathway	Comments	
ABO10995	leucine--tRNA ligase [Acinetobacter baumannii]	tRNA-synt_1_2	AA_TRNA_LIGASE_I	NULL	NULL	
ABO10618	hypothetical protein [Acinetobacter baumannii]	DUF3861	NULL	NULL	NULL	
ABO10621	glutathione S-transferase [Acinetobacter baumannii]	GST_N	GST_NTER;GST_CTER	NULL	NULL	
ABO10632	"membrane-bound ATP synthase F0 sector, subunit a [Acinetobacter baumannii]"	null	NULL	NULL	NULL	
ABO10642	glutathione peroxidase [Acinetobacter baumannii]	GSHPx	GLUTATHIONE_PEROXID_3;GLUTATHIONE_PEROXID_1	NULL	NULL	
ABO11008	hypothetical protein [Acinetobacter baumannii]	null	NULL	NULL	NULL	
ABO10646	"EamA/RhaT family transporter, partial [Acinetobacter baumannii]"	EamA	NULL	NULL	NULL	
ABO10647	EamA/RhaT family transporter [Acinetobacter baumannii]	EamA	NULL	NULL	NULL	
ABO10652	hypothetical protein [Acinetobacter baumannii]	DUF2946	NULL	NULL	NULL	
ABO10654	hypothetical protein [Acinetobacter baumannii]	null	NULL	NULL	NULL	
ABO10662	MerR family transcriptional regulator [Acinetobacter baumannii]	MerR_1	HTH_MERR_2	Transcription Regulation	NULL	
ABO11017	RidA family protein [Acinetobacter baumannii]	Ribonuc_L-PSP	NULL	NULL	NULL	
ABO11018	EamA family transporter [Acinetobacter baumannii]	EamA	NULL	NULL	NULL	
ABO11023	MULTISPECIES: ribosome silencing factor RsfS [Acinetobacter]	RsfS	NULL	NULL	NULL	
ABO11025	3-hydroxyisobutyrate dehydrogenase [Acinetobacter baumannii]	NAD_binding_2	NULL	NULL	NULL	
ABO10675	hypothetical protein [Acinetobacter baumannii]	null	NULL	NULL	NULL	
ABO10678	"outer membrane porin, OprD family [Acinetobacter baumannii]"	OprD	NULL	Nutrient and Drug Transfer	"Porins can be mutated to not let antibiotic drugs through the cell membrane, but let nutrients through. - ""porin mutants are found in some species of Enterobacteriaceae (Enterobacter aerogenes, Klebsiella pneumoniae) as a means of last resort resistance to the more recent versions of ?-lactams that withstand inactivation by common ?-lactamases"""	
ABO10683	"endonuclease, partial [Acinetobacter baumannii]"	Tn7_Tnp_TnsA_N	NULL	NULL	NULL	
ABO10684	IS701 family transposase [Acinetobacter nosocomialis]	DDE_Tnp_1	NULL	Transposition	multiply resistant transposons can be stably integrated into the genome of Acinetobacter	
ABO10685	transposase [Acinetobacter baumannii]	null	NULL	NULL	NULL	
ABO10686	"transposase, partial [Acinetobacter baumannii]"	Mu-transpos_C	INTEGRASE	NULL	NULL	
ABO11036	3-methyl-2-oxobutanoate hydroxymethyltransferase [Acinetobacter baumannii]	Pantoate_transf	NULL	NULL	NULL	
ABO11037	3-methyl-2-oxobutanoate hydroxymethyltransferase [Acinetobacter baumannii]	Pantoate_transf	NULL	NULL	NULL	
ABO11040	MULTISPECIES: phosphocarrier protein HPr [Acinetobacter]	PTS-HPr	PTS_HPR_DOM	NULL	NULL	
ABO11049	hypothetical protein [Acinetobacter baumannii]	DUF1768	NULL	NULL	NULL	
ABO11051	hypothetical protein [Acinetobacter baumannii]	null	NULL	NULL	NULL	
ABO11055	thiol reductase thioredoxin [Acinetobacter baumannii]	Thioredoxin	THIOREDOXIN_2;THIOREDOXIN_1	NULL	NULL	
ABO11058	tRNA lysidine(34) synthetase TilS [Acinetobacter baumannii]	ATP_bind_3	NULL	NULL	NULL	
ABO10699	hypothetical protein [Acinetobacter baumannii]	null	NULL	NULL	NULL	
ABO10707	sigma-54-dependent Fis family transcriptional regulator [Acinetobacter baumannii]	HTH_8	SIGMA54_INTERACT_4;SIGMA54_INTERACT_3	NULL	NULL	
ABO10708	"sigma-54-dependent Fis family transcriptional regulator, partial [Acinetobacter baumannii]"	Sigma54_activat	SIGMA54_INTERACT_4;SIGMA54_INTERACT_2	NULL	NULL	
ABO10709	sigma-54-dependent Fis family transcriptional regulator [Acinetobacter baumannii]	Response_reg	RESPONSE_REGULATORY	NULL	NULL	
ABO11069	anti-sigma factor antagonist [Acinetobacter baumannii]	STAS	STAS	NULL	NULL	
ABO10733	argininosuccinate lyase [Acinetobacter baumannii]	null	NULL	NULL	NULL	
ABO10734	argininosuccinate lyase [Acinetobacter baumannii]	Lyase_1	FUMARATE_LYASES	NULL	NULL	
ABO10739	hypothetical protein [Acinetobacter baumannii]	null	NULL	NULL	NULL	
ABO10740	hypothetical protein [Acinetobacter baumannii]	null	NULL	NULL	NULL	
ABO11085	DNA polymerase V [Acinetobacter baumannii]	Peptidase_S24	NULL	NULL	NULL	
ABO10743	DNA-binding protein [Acinetobacter baumannii]	Histone_HNS	NULL	NULL	NULL	
ABO10744	general secretion pathway protein [Acinetobacter baumannii]	T2SSN	NULL	NULL	NULL	
ABO10756	50S ribosomal protein L7/L12 [Acinetobacter baumannii]	Ribosomal_L12	NULL	NULL	NULL	
ABO11097	nuclease [Acinetobacter baumannii]	SNase	TNASE_3;TNASE_1	NULL	NULL	
ABO11101	MULTISPECIES: ferrous iron transport protein A [Acinetobacter]	FeoA	NULL	NULL	NULL	
ABO11102	ferrous iron transporter B [Acinetobacter baumannii]	FeoB_N	G_FEOB	NULL	NULL	
ABO11105	transposase [Acinetobacter baumannii]	null	NULL	NULL	NULL	
ABO10768	MerR family transcriptional regulator [Acinetobacter baumannii]	MerR_1	HTH_MERR_2	NULL	NULL	
ABO10769	signal peptide-containing protein [Acinetobacter baumannii]	Ser_hydrolase	NULL	NULL	NULL	
ABO10772	histidine kinase [Acinetobacter pittii]	HATPase_c_3	NULL	NULL	NULL	
ABO10778	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase [Acinetobacter baumannii]	CDP-OH_P_transf	CDP_ALCOHOL_P_TRANSF	NULL	NULL	
ABO11108	protein TniQ [Acinetobacter baumannii]	TniQ	NULL	NULL	NULL	
ABO11109	transposase [Acinetobacter baumannii]	TniB	NULL	NULL	NULL	
ABO11111	null	null	NULL	NULL	NULL	
ABO11115	P-type conjugative transfer protein TrbL [Gallibacterium anatis]	TrbL	NULL	Plasmid conjugal transfer	Plasmid transfer is important for transfer of antibiotic resistance genes between bacteria.	
ABO11117	arsenical-resistance protein [Pseudomonas aeruginosa]	SBF	NULL	NULL	NULL	
ABO11118	hypothetical protein [Stenotrophomonas maltophilia]	null	NULL	NULL	NULL	
ABO11121	"IS91 family transposase, partial [Acinetobacter baumannii]"	Zn_Tnp_IS91	NULL	NULL	NULL	
