SEQUENCE_ID	BLAST_KEYS	PFAM_KEYS	PROSITE_KEYS
ABO10995	leucine--tRNA ligase [Acinetobacter baumannii]	tRNA-synt_1_2	AA_TRNA_LIGASE_I
ABO10618	hypothetical protein [Acinetobacter baumannii]	DUF3861	NULL
ABO10621	glutathione S-transferase [Acinetobacter baumannii]	GST_N	GST_NTER;GST_CTER
ABO10632	null	null	NULL
ABO10642	glutathione peroxidase [Acinetobacter baumannii]	GSHPx	GLUTATHIONE_PEROXID_3;GLUTATHIONE_PEROXID_1
ABO11008	hypothetical protein [Acinetobacter baumannii]	null	NULL
ABO10646	EamA family transporter, partial [Acinetobacter baumannii]	EamA	NULL
ABO10647	EamA family transporter, partial [Acinetobacter baumannii]	EamA	NULL
ABO10652	DUF2946 domain-containing protein [Acinetobacter baumannii]	DUF2946	NULL
ABO10654	MULTISPECIES: hypothetical protein [Acinetobacter calcoaceticus/baumannii complex]	null	NULL
ABO10662	MerR family transcriptional regulator [Acinetobacter baumannii]	MerR_1	HTH_MERR_2
ABO11017	YjgF family translation initiation inhibitor [Acinetobacter baumannii]	Ribonuc_L-PSP	NULL
ABO11018	EamA/RhaT family transporter [Acinetobacter baumannii]	EamA	NULL
ABO11023	ribosome silencing factor [Acinetobacter baumannii]	RsfS	NULL
ABO11025	3-hydroxyisobutyrate dehydrogenase [Acinetobacter baumannii]	NAD_binding_2	NULL
ABO10675	hypothetical protein [Acinetobacter calcoaceticus]	null	NULL
ABO10678	outer membrane porin, OprD family [Acinetobacter sp. LMB-5]	OprD	NULL
ABO10683	transposase [Acinetobacter baumannii]	Tn7_Tnp_TnsA_N	NULL
ABO10684	IS701 family transposase [Acinetobacter pittii]	DDE_Tnp_1	NULL
ABO10685	transposase [Acinetobacter baumannii]	null	NULL
ABO10686	transposase [Acinetobacter baumannii]	Mu-transpos_C	INTEGRASE
ABO11036	3-methyl-2-oxobutanoate hydroxymethyltransferase [Acinetobacter baumannii]	Pantoate_transf	NULL
ABO11037	3-methyl-2-oxobutanoate hydroxymethyltransferase [Acinetobacter baumannii]	Pantoate_transf	NULL
ABO11040	phosphocarrier protein HPr [Acinetobacter baumannii]	PTS-HPr	PTS_HPR_DOM
ABO11049	hypothetical protein, partial [Acinetobacter baumannii]	DUF1768	NULL
ABO11051	hypothetical protein, partial [Acinetobacter baumannii]	null	NULL
